epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.28284,1.32236,6.30403,1.18569,0.29538,0.26051,0.50643,0.27936,0.82736,3.44323,0.87532,6e-05,6e-05,6e-05
2,13.4464,1.32474,6.18089,1.2745,0.99417,0.8,0.845,0.63617,0.81829,4.7066,0.89381,0.000138614,0.000138614,0.000138614
3,15.9039,0.89811,2.52223,0.96081,0.96702,1,0.995,0.97503,0.2793,5.75138,0.76421,0.000215644,0.000215644,0.000215644
4,18.2214,0.69182,1.58311,0.93484,0.98647,1,0.995,0.92019,0.40859,2.67041,0.75687,0.00029109,0.00029109,0.00029109
5,20.3831,0.61708,1.26664,0.89337,0.98932,1,0.995,0.8955,0.48284,1.3101,0.7839,0.000364952,0.000364952,0.000364952
6,22.4791,0.60115,0.94742,0.87528,0.99007,1,0.995,0.91329,0.466,1.44637,0.80961,0.00043723,0.00043723,0.00043723
7,24.5607,0.64566,0.90131,0.85916,0.99043,1,0.995,0.91529,0.451,1.23748,0.80316,0.000507924,0.000507924,0.000507924
8,26.636,0.71205,1.04615,0.93327,0.98929,1,0.995,0.94504,0.34681,1.86978,0.76575,0.000577034,0.000577034,0.000577034
9,28.6654,0.63428,0.94327,0.88092,0.98389,1,0.995,0.97503,0.40457,1.0245,0.77626,0.00064456,0.00064456,0.00064456
10,30.9075,0.6852,0.7599,0.93904,0.9904,1,0.995,0.9004,0.521,1.0044,0.83261,0.000710502,0.000710502,0.000710502
11,33.2203,0.66619,0.7199,0.91941,0.99046,1,0.995,0.88205,0.51055,0.81827,0.84939,0.00077486,0.00077486,0.00077486
12,35.371,0.69052,0.74355,0.92502,0.98996,1,0.995,0.84557,0.65121,0.79274,0.87807,0.000837634,0.000837634,0.000837634
