               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12381,            0.015501,                   0,          0.00066667,                 0.2,          0.00048219,          0.00024109,             0.11106,            0.012533,                   0,              0.0739,              0.0029,              0.0029
                   1,             0.10698,            0.015722,                   0,           0.0013333,                 0.4,          0.00093901,          0.00017418,            0.091542,            0.013006,                   0,            0.046705,           0.0057053,           0.0057053
                   2,             0.10172,            0.016746,                   0,           0.0026667,                 0.8,           0.0038094,          0.00099682,            0.082908,            0.012856,                   0,            0.019313,           0.0083126,           0.0083126
                   3,            0.097114,            0.017285,                   0,          0.00066667,                 0.2,          0.00050985,          0.00020394,            0.082082,            0.013301,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.092914,             0.01778,                   0,          0.00066667,                 0.2,          0.00044426,          0.00022213,            0.089008,            0.011755,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.091789,            0.016769,                   0,           0.0026667,                 0.8,           0.0024257,          0.00056945,            0.073705,            0.013957,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.090177,            0.018285,                   0,           0.0026667,                 0.8,           0.0045495,           0.0015035,             0.07956,            0.012266,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.085421,            0.016421,                   0,           0.0026667,                 0.8,           0.0027566,          0.00064013,             0.08513,            0.011736,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.089318,            0.016215,                   0,           0.0026667,                 0.8,           0.0027566,          0.00064013,             0.08513,            0.011736,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.094682,            0.016196,                   0,           0.0013333,                 0.4,          0.00094009,          0.00018802,            0.095426,            0.010401,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.083858,            0.018642,                   0,           0.0033333,                   1,           0.0063215,          0.00093143,            0.082046,             0.01107,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.077616,            0.016249,                   0,           0.0033333,                   1,            0.013974,           0.0035601,            0.068597,            0.012389,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.074069,            0.016406,                   0,           0.0033333,                   1,            0.026021,           0.0065913,            0.064797,            0.012114,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.070926,            0.016661,                   0,           0.0033333,                   1,            0.029332,           0.0065097,            0.063038,            0.011637,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.073996,            0.015735,                   0,           0.0033333,                   1,            0.049643,            0.014746,            0.062342,            0.010879,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.074493,            0.015621,                   0,           0.0033333,                   1,            0.046923,            0.011351,            0.078369,           0.0096074,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.066711,            0.015635,                   0,           0.0033333,                   1,             0.17305,            0.049352,            0.060289,            0.011501,                   0,             0.00505,             0.00505,             0.00505
                  17,             0.06806,              0.0174,                   0,           0.0033333,                   1,               0.168,            0.041675,            0.058602,            0.011276,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.064491,            0.016388,                   0,           0.0033333,                   1,            0.067187,             0.01562,            0.065971,            0.010484,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.062304,            0.017571,                   0,           0.0033333,                   1,             0.78948,             0.31423,            0.043657,             0.01246,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.058469,            0.016362,                   0,           0.0033333,                   1,            0.062754,            0.018496,            0.060742,             0.01101,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.057861,            0.017555,                   0,           0.0033333,                   1,             0.93786,             0.38969,            0.040919,            0.012554,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.054462,            0.016466,                   0,           0.0033333,                   1,                0.88,             0.24513,            0.048061,            0.011599,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.051411,            0.015857,                   0,           0.0033333,                   1,             0.96167,             0.34701,            0.042887,            0.012247,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.055421,            0.018041,                   0,           0.0033333,                   1,             0.96167,             0.34701,            0.042887,            0.012247,                   0,             0.00241,             0.00241,             0.00241
                  25,             0.05572,            0.016673,                   0,           0.0033333,                   1,             0.93786,             0.23031,            0.046217,            0.012034,                   0,             0.00208,             0.00208,             0.00208
                  26,              0.0588,            0.018822,                   0,           0.0033333,                   1,             0.77541,             0.22096,            0.046482,            0.011965,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.052912,            0.017575,                   0,           0.0033333,                   1,               0.995,             0.35407,             0.04136,            0.012057,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.054259,            0.017552,                   0,           0.0033333,                   1,               0.995,             0.37181,            0.038178,            0.012116,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.045858,            0.017368,                   0,           0.0033333,                   1,             0.96167,             0.40653,            0.035927,            0.012242,                   0,             0.00076,             0.00076,             0.00076
