epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.66792,1.43376,3.71963,1.21019,0.00333,1,0.01669,0.01175,0.65796,3.01588,0.77683,0.00014,0.00014,0.00014
2,4.00389,1.00357,2.69721,0.95805,0.00333,1,0.92833,0.42227,0.64879,3.01878,0.71994,0.0002901,0.0002901,0.0002901
3,5.1796,0.9825,1.46208,0.95244,0.00333,1,0.995,0.87153,0.57893,2.62052,0.70099,0.00042964,0.00042964,0.00042964
4,6.34955,0.84056,1.3915,0.88947,0.96078,1,0.995,0.796,0.78272,2.34991,0.73168,0.00055862,0.00055862,0.00055862
5,7.54474,0.97319,1.42334,0.94116,0.00333,1,0.995,0.80385,0.65638,2.55177,0.74086,0.00067704,0.00067704,0.00067704
6,8.75425,0.96468,1.26152,0.95082,0.0143,1,0.995,0.79993,0.81404,2.41015,0.74979,0.0007849,0.0007849,0.0007849
7,9.94539,0.90451,1.20506,0.96752,0.23881,1,0.995,0.8955,0.61505,2.3117,0.72865,0.0008822,0.0008822,0.0008822
8,11.1053,0.91077,1.23246,0.97487,0.3697,1,0.995,0.7865,0.65589,2.28063,0.73878,0.00096894,0.00096894,0.00096894
9,12.2741,0.92231,1.16265,0.94052,0.9336,1,0.995,0.9004,0.54777,1.8364,0.71302,0.00104512,0.00104512,0.00104512
10,13.4957,0.81348,0.99993,0.9509,0.97577,1,0.995,0.87545,0.57265,1.60729,0.7216,0.00111074,0.00111074,0.00111074
11,14.6346,0.86357,1.03733,0.90369,0.97288,1,0.995,0.83736,0.62096,1.59604,0.7377,0.0011658,0.0011658,0.0011658
12,15.8171,0.81665,0.97936,0.90457,0.97157,1,0.995,0.85538,0.62036,1.72419,0.73892,0.0012103,0.0012103,0.0012103
13,16.9859,0.86648,0.98406,0.93075,0.9365,1,0.995,0.76225,0.72079,1.79503,0.74464,0.001208,0.001208,0.001208
14,18.1315,0.79786,0.98074,0.9077,0.96812,1,0.995,0.83174,0.65148,1.40734,0.73818,0.001142,0.001142,0.001142
15,19.2655,0.75042,0.9236,0.90582,0.97689,1,0.995,0.92837,0.49699,1.15402,0.72463,0.001076,0.001076,0.001076
16,20.4205,0.71391,0.91006,0.90223,0.98707,1,0.995,0.88043,0.56094,0.96647,0.7116,0.00101,0.00101,0.00101
17,21.5694,0.74886,0.92345,0.87397,0.98905,1,0.995,0.85207,0.55469,0.87005,0.7106,0.000944,0.000944,0.000944
18,22.7947,0.71429,0.88362,0.86215,0.98983,1,0.995,0.91529,0.4402,0.73957,0.71318,0.000878,0.000878,0.000878
19,23.9852,0.71821,0.92018,0.89733,0.99008,1,0.995,0.92837,0.40937,0.73737,0.70891,0.000812,0.000812,0.000812
20,25.1568,0.76027,1.05421,0.91083,0.98696,1,0.995,0.92837,0.467,0.83657,0.69861,0.000746,0.000746,0.000746
21,37.9258,0.58872,0.84809,0.82579,0.98661,1,0.995,0.9164,0.42985,0.83325,0.70437,0.00068,0.00068,0.00068
22,39.1883,0.5575,0.84173,0.8179,0.99074,1,0.995,0.94504,0.40706,0.79625,0.69672,0.000614,0.000614,0.000614
23,40.4213,0.52509,0.78926,0.79739,0.9912,1,0.995,0.89943,0.52192,0.75674,0.6909,0.000548,0.000548,0.000548
24,41.5881,0.54117,0.8116,0.83534,0.99112,1,0.995,0.8955,0.55379,0.6919,0.69067,0.000482,0.000482,0.000482
25,42.8042,0.51323,0.76921,0.80572,0.99113,1,0.995,0.9004,0.45302,0.64314,0.6861,0.000416,0.000416,0.000416
26,43.9823,0.46009,0.73071,0.81572,0.99121,1,0.995,0.91529,0.3581,0.60954,0.69084,0.00035,0.00035,0.00035
27,45.1969,0.48939,0.72615,0.77982,0.99111,1,0.995,0.94017,0.33736,0.56647,0.68985,0.000284,0.000284,0.000284
28,46.4167,0.41352,0.68357,0.78815,0.99117,1,0.995,0.995,0.31397,0.54996,0.68833,0.000218,0.000218,0.000218
29,47.602,0.37854,0.66129,0.78664,0.99114,1,0.995,0.97503,0.3039,0.5351,0.68594,0.000152,0.000152,0.000152
30,48.8141,0.42349,0.6755,0.82255,0.99129,1,0.995,0.94017,0.29759,0.53032,0.68933,8.6e-05,8.6e-05,8.6e-05
